epoch,loss_per_point
1,6855.490352
2,6621.551325
3,5343.819090
4,5315.508916
5,5855.441074
6,6151.160184
7,5924.831174
8,6574.537915
9,5849.460690
10,5568.176648
11,5852.817469
12,5891.360119
13,6615.576210
14,5537.119501
15,6194.296043
16,6048.528550
17,6886.350680
18,5955.663763
19,6249.666883
20,6697.251053
21,6095.030585
22,5657.038038
23,6103.293499
24,6046.208294
25,6291.837206
26,5510.010784
27,5550.583271
28,5793.026668
29,6147.404136
30,6044.143562
31,5972.012509
32,6052.386066
33,5593.811512
34,6011.681668
35,5610.729331
36,6349.072920
37,5833.817660
38,5996.743214
39,6326.620764
40,5882.171144
41,6408.274741
42,5845.341023
43,5816.785323
44,5856.525803
45,5997.746928
46,5886.940206
47,6427.740400
48,6241.764788
49,5981.111545
50,6016.426713
51,6205.771942
52,6048.708140
53,5609.675343
54,6445.020966
55,5930.586723
56,6254.386105
57,5820.929756
58,5958.035532
59,6144.642291
60,6276.361210
61,6438.306362
62,5977.293225
63,5634.633076
64,6610.191065
65,5988.319930
66,6191.523469
67,6472.539414
68,6060.205226
69,6686.080623
70,5575.830443
71,5752.189194
72,5885.098156
73,5496.707168
74,5912.993429
75,6082.606626
76,5951.208405
77,5569.044911
78,5666.840640
79,6177.221905
80,5350.716760
81,5917.595262
82,6149.197282
83,6055.761025
84,6461.085036
85,5954.810010
86,6037.153105
87,6700.053869
88,5759.343268
89,6363.783218
90,6273.845174
91,6324.626956
92,6036.444710
93,5903.526272
94,5665.665839
95,5429.643360
96,6658.072942
97,5518.535017
98,5563.662448
99,5540.555550
100,5983.669790
101,6350.990590
102,5596.789487
103,5983.640371
104,6388.331264
105,5328.558212
106,6080.136156
107,5846.956853
108,5820.602061
109,5574.538610
110,5242.429197
111,5132.160364
112,5551.380597
113,6125.451421
114,5517.486346
115,5982.768140
116,6330.710402
117,6556.548389
118,6271.025013
119,6206.950204
120,5572.393260
121,5249.883385
122,6437.358494
123,6948.705733
124,5906.164742
125,5811.055745
126,6185.863040
127,5925.999124
128,6530.564799
129,6774.939324
130,6432.827334
131,6947.360628
132,5719.800182
133,6062.906300
134,6295.011082
135,6055.707795
136,5924.660865
137,6004.156741
138,5547.932956
139,5971.741402
140,5686.049778
141,5638.861727
142,7444.592222
143,5360.720205
144,5915.352140
145,5520.348473
146,6114.011735
147,6606.885912
148,6320.510441
149,5224.729073
150,5671.513943
151,5894.304705
152,6020.118041
153,5391.289892
154,5804.289082
155,5570.589194
156,6030.330691
157,5643.081043
158,5171.973569
159,5354.802154
160,5814.873373
161,5255.927874
162,5172.898575
163,5639.166927
164,5650.266158
165,5642.348820
166,5433.836021
167,5434.389374
168,6940.470605
169,5857.521050
170,6610.814317
171,5609.600061
172,5787.751961
173,4913.255538
174,6658.514133
175,5647.107121
176,5270.207050
177,5387.829077
178,5685.470668
179,5450.702028
180,6133.400611
181,6890.406503
182,5631.243623
183,5166.024154
184,5774.281034
185,5379.011265
186,5960.666199
187,4935.789833
188,5476.913339
189,6043.045989
190,5696.839914
191,5285.771790
192,5566.265636
193,5708.494985
194,4869.888168
195,5588.656716
